actor,benefactor,self-act,total-act,self-ratio
barnes,barnes,16,51,0.31
anna,anna,11,35,0.31
tender,tender,10,32,0.31
voice,voice,10,32,0.31
wilson,wilson,9,29,0.31
disappointment,disappointment,5,16,0.31
hickma,hickma,5,16,0.31
grime,grime,4,13,0.31
smith,smith,317,985,0.32
heart,heart,121,377,0.32
papa,papa,73,226,0.32
rowland,rowland,49,154,0.32
dog,dog,38,117,0.32
others,others,35,108,0.32
name,name,29,90,0.32
polly,polly,29,92,0.32
plotting,plotting,19,60,0.32
bear,bear,13,41,0.32
persecution,persecution,11,34,0.32
guinea,guinea,6,19,0.32
mourning,mourning,6,19,0.32
our,our,6,19,0.32
ti,ti,6,19,0.32
felicity,felicity,6,19,0.32
lady,lady,1476,4477,0.33
virtue,virtue,37,111,0.33
occasion,occasion,33,99,0.33
company,company,26,80,0.33
sorlings,sorlings,26,78,0.33
prudence,prudence,23,69,0.33
nymph,nymph,19,58,0.33
marriage,marriage,17,51,0.33
cloaths,cloaths,15,46,0.33
proposal,proposal,15,45,0.33
apartment,apartment,14,42,0.33
offer,offer,12,36,0.33
appearance,appearance,9,27,0.33
attempt,attempt,9,27,0.33
stranger,stranger,8,24,0.33
service,service,7,21,0.33
be,be,7,21,0.33
message,message,6,18,0.33
prospect,prospect,6,18,0.33
harman,harman,5,15,0.33
danger,danger,5,15,0.33
degree,degree,5,15,0.33
inn,inn,5,15,0.33
simon,simon,4,12,0.33
old,old,4,12,0.33
cruelty,cruelty,3,9,0.33
expectation,expectation,3,9,0.33
call,call,3,9,0.33
practice,practice,3,9,0.33
jenny,jenny,3,9,0.33
fynnett,fynnett,3,9,0.33
impertinence,impertinence,3,9,0.33
device,device,3,9,0.33
roman,roman,3,9,0.33
tutor,tutor,2,6,0.33
pocock,pocock,2,6,0.33
grandeur,grandeur,2,6,0.33
anybody,anybody,2,6,0.33
menace,menace,2,6,0.33
ay,ay,2,6,0.33
chin,chin,2,6,0.33
individual,individual,2,6,0.33
sweetness,sweetness,2,6,0.33
compulsion,compulsion,2,6,0.33
affluent,affluent,2,6,0.33
unforgiveness,unforgiveness,2,6,0.33
grave,grave,2,6,0.33
insolence,insolence,2,6,0.33
slough,slough,2,6,0.33
virgin,virgin,2,6,0.33
wright,wright,2,6,0.33
fist,fist,2,6,0.33
warning,warning,2,6,0.33
ship,ship,2,6,0.33
daemon,daemon,2,6,0.33
distraction,distraction,2,6,0.33
how,how,2,6,0.33
set,set,2,6,0.33
divinity,divinity,1,3,0.33
hill,hill,1,3,0.33
dreamer,dreamer,1,3,0.33
fervor,fervor,1,3,0.33
tyranny,tyranny,1,3,0.33
re,re,1,3,0.33
pandora,pandora,1,3,0.33
equipage,equipage,1,3,0.33
think,think,1,3,0.33
stopt,stopt,1,3,0.33
sorrow,sorrow,1,3,0.33
blossom,blossom,1,3,0.33
convocation,convocation,1,3,0.33
moth,moth,1,3,0.33
succession,succession,1,3,0.33
critic,critic,1,3,0.33
antique,antique,1,3,0.33
outcry,outcry,1,3,0.33
frugality,frugality,1,3,0.33
commerce,commerce,1,3,0.33
whe,whe,1,3,0.33
acquiescence,acquiescence,1,3,0.33
dupe,dupe,1,3,0.33
violation,violation,1,3,0.33
opponent,opponent,1,3,0.33
sleep,sleep,1,3,0.33
attorney,attorney,1,3,0.33
hurry,hurry,1,3,0.33
entertainment,entertainment,1,3,0.33
chapel,chapel,1,3,0.33
contrive,contrive,1,3,0.33
couldst,couldst,1,3,0.33
underwood,underwood,1,3,0.33
rachel,rachel,1,3,0.33
clark,clark,1,3,0.33
parting,parting,1,3,0.33
covent,covent,1,3,0.33
ife,ife,1,3,0.33
drink,drink,1,3,0.33
tail,tail,1,3,0.33
avowal,avowal,1,3,0.33
tameness,tameness,1,3,0.33
adorer,adorer,1,3,0.33
paragraph,paragraph,1,3,0.33
englishman,englishman,1,3,0.33
cover,cover,1,3,0.33
recoil,recoil,1,3,0.33
courtship,courtship,1,3,0.33
dislike,dislike,1,3,0.33
crew,crew,1,3,0.33
parchment,parchment,1,3,0.33
hardship,hardship,1,3,0.33
cavil,cavil,1,3,0.33
testimony,testimony,1,3,0.33
winter,winter,1,3,0.33
cold,cold,1,3,0.33
waltham,waltham,1,3,0.33
pursuit,pursuit,1,3,0.33
abasement,abasement,1,3,0.33
season,season,1,3,0.33
berkshire,berkshire,1,3,0.33
fib,fib,1,3,0.33
approach,approach,1,3,0.33
recourse,recourse,1,3,0.33
fright,fright,1,3,0.33
raillery,raillery,1,3,0.33
mordens,mordens,1,3,0.33
clerk,clerk,1,3,0.33
parcel,parcel,1,3,0.33
condescend,condescend,1,3,0.33
risques,risques,1,3,0.33
blockhead,blockhead,1,3,0.33
watchfulness,watchfulness,1,3,0.33
who,who,1,3,0.33
front,front,1,3,0.33
casuist,casuist,1,3,0.33
correction,correction,1,3,0.33
pacquet,pacquet,1,3,0.33
guardian,guardian,1,3,0.33
bequest,bequest,1,3,0.33
tie,tie,1,3,0.33
whoever,whoever,1,3,0.33
lodger,lodger,1,3,0.33
sincerity,sincerity,1,3,0.33
acknowlegement,acknowlegement,1,3,0.33
sanction,sanction,1,3,0.33
brother,brother,510,1520,0.34
hickman,hickman,312,926,0.34
sally,sally,82,240,0.34
villain,villain,37,108,0.34
power,power,24,70,0.34
gentlewoman,gentlewoman,24,70,0.34
angel,angel,24,70,0.34
answer,answer,13,38,0.34
delicacy,delicacy,10,29,0.34
pair,pair,10,29,0.34
solmes,solmes,258,732,0.35
doctor,doctor,107,310,0.35
world,world,86,247,0.35
parent,parent,84,239,0.35
daughter,daughter,68,197,0.35
charmer,charmer,48,138,0.35
hers,hers,20,57,0.35
law,law,17,49,0.35
her,her,14,40,0.35
lip,lip,9,26,0.35
advantage,advantage,8,23,0.35
scene,scene,7,20,0.35
talent,talent,7,20,0.35
bosom,bosom,7,20,0.35
plea,plea,6,17,0.35
displeasure,displeasure,6,17,0.35
promise,promise,6,17,0.35
unworthy,unworthy,6,17,0.35
quickness,quickness,6,17,0.35
lovick,lovick,240,672,0.36
girl,girl,83,232,0.36
mowbray,mowbray,49,138,0.36
fretchville,fretchville,47,132,0.36
tourville,tourville,37,104,0.36
pritchard,pritchard,27,75,0.36
villainy,villainy,13,36,0.36
morrow,morrow,12,33,0.36
goddess,goddess,10,28,0.36
remembrest,remembrest,10,28,0.36
calista,calista,8,22,0.36
particular,particular,5,14,0.36
peggy,peggy,5,14,0.36
decency,decency,5,14,0.36
weight,weight,5,14,0.36
success,success,5,14,0.36
st,st,4,11,0.36
share,share,4,11,0.36
innkeeper,innkeeper,4,11,0.36
recollection,recollection,4,11,0.36
descendent,descendent,4,11,0.36
housekeeper,housekeeper,4,11,0.36
reserve,reserve,4,11,0.36
hannah,hannah,112,302,0.37
hand,hand,70,188,0.37
my,my,28,76,0.37
johnny,johnny,16,43,0.37
duty,duty,13,35,0.37
dorcas,dorcas,477,1239,0.38
executor,executor,45,117,0.38
content,content,14,37,0.38
lover,lover,13,34,0.38
lodging,lodging,12,32,0.38
loveace,loveace,11,29,0.38
william,william,9,24,0.38
assurance,assurance,8,21,0.38
morning,morning,6,16,0.38
tyrant,tyrant,6,16,0.38
beast,beast,6,16,0.38
assiduity,assiduity,5,13,0.38
impertinent,impertinent,5,13,0.38
criticism,criticism,3,8,0.38
hostler,hostler,3,8,0.38
garret,garret,3,8,0.38
independence,independence,3,8,0.38
indisposition,indisposition,3,8,0.38
condition,condition,22,56,0.39
boy,boy,22,57,0.39
tenant,tenant,11,28,0.39
vengeance,vengeance,7,18,0.39
shorey,shorey,17,42,0.4
reverence,reverence,8,20,0.4
affection,affection,8,20,0.4
exclamation,exclamation,6,15,0.4
rogue,rogue,6,15,0.4
preference,preference,4,10,0.4
bard,bard,4,10,0.4
height,height,4,10,0.4
trust,trust,4,10,0.4
bird,bird,4,10,0.4
plan,plan,4,10,0.4
wedlock,wedlock,4,10,0.4
monarch,monarch,4,10,0.4
czar,czar,4,10,0.4
station,station,4,10,0.4
athenian,athenian,4,10,0.4
medicine,medicine,4,10,0.4
envy,envy,4,10,0.4
gratitude,gratitude,4,10,0.4
exit,exit,2,5,0.4
breach,breach,2,5,0.4
steward,steward,2,5,0.4
metcalfe,metcalfe,2,5,0.4
hater,hater,2,5,0.4
french,french,2,5,0.4
probability,probability,2,5,0.4
confinement,confinement,2,5,0.4
meanest,meanest,2,5,0.4
objection,objection,2,5,0.4
reading,reading,2,5,0.4
language,language,2,5,0.4
esteem,esteem,2,5,0.4
birth,birth,2,5,0.4
hold,hold,2,5,0.4
cabinet,cabinet,2,5,0.4
convenience,convenience,2,5,0.4
horace,horace,2,5,0.4
farmer,farmer,2,5,0.4
thinking,thinking,2,5,0.4
malady,malady,2,5,0.4
forgiveness,forgiveness,2,5,0.4
bantam,bantam,2,5,0.4
pheasant,pheasant,2,5,0.4
diligence,diligence,2,5,0.4
past,past,2,5,0.4
material,material,2,5,0.4
delay,delay,2,5,0.4
fore,fore,2,5,0.4
dropt,dropt,2,5,0.4
listener,listener,2,5,0.4
yours,yours,16,39,0.41
interest,interest,16,39,0.41
nancy,nancy,15,37,0.41
caesar,caesar,11,27,0.41
readier,readier,9,22,0.41
money,money,7,17,0.41
tom,tom,18,43,0.42
pen,pen,15,36,0.42
clergyman,clergyman,13,31,0.42
crime,crime,10,24,0.42
interview,interview,5,12,0.42
disposition,disposition,5,12,0.42
corpse,corpse,5,12,0.42
peer,peer,20,47,0.43
design,design,13,30,0.43
freedom,freedom,9,21,0.43
traveller,traveller,6,14,0.43
fortress,fortress,6,14,0.43
bed,bed,6,14,0.43
italy,italy,3,7,0.43
bill,bill,3,7,0.43
colour,colour,3,7,0.43
rebel,rebel,3,7,0.43
lace,lace,3,7,0.43
their,their,3,7,0.43
oughtest,oughtest,3,7,0.43
contention,contention,3,7,0.43
iniquity,iniquity,3,7,0.43
soul,soul,48,108,0.44
account,account,22,50,0.44
motherinlaw,motherinlaw,18,41,0.44
evil,evil,17,39,0.44
seest,seest,4,9,0.44
plate,plate,4,9,0.44
notice,notice,4,9,0.44
application,application,4,9,0.44
plot,plot,4,9,0.44
argument,argument,39,86,0.45
summer,summer,15,33,0.45
arm,arm,13,29,0.45
sight,sight,9,20,0.45
discretion,discretion,5,11,0.45
coach,coach,5,11,0.45
thy,thy,5,11,0.45
chevalier,chevalier,15,32,0.47
piece,piece,8,17,0.47
josephus,josephus,8,17,0.47
expostulation,expostulation,7,15,0.47
um,um,7,15,0.47
folly,folly,7,15,0.47
pleasure,pleasure,13,27,0.48
light,light,12,25,0.48
command,command,12,25,0.48
correspondence,correspondence,11,23,0.48
praise,praise,11,23,0.48
author,author,17,35,0.49
reason,reason,23,46,0.5
resentment,resentment,17,34,0.5
thomasine,thomasine,12,24,0.5
sufferer,sufferer,10,20,0.5
ceremony,ceremony,9,18,0.5
difficulty,difficulty,9,18,0.5
dignity,dignity,7,14,0.5
rashness,rashness,6,12,0.5
conference,conference,6,12,0.5
suppliant,suppliant,6,12,0.5
week,week,5,10,0.5
stage,stage,5,10,0.5
judge,judge,5,10,0.5
indulgence,indulgence,5,10,0.5
intellect,intellect,5,10,0.5
pretence,pretence,5,10,0.5
offence,offence,5,10,0.5
outrage,outrage,5,10,0.5
drowning,drowning,4,8,0.5
aspect,aspect,4,8,0.5
witness,witness,4,8,0.5
wickedness,wickedness,4,8,0.5
superior,superior,4,8,0.5
thump,thump,4,8,0.5
invitation,invitation,3,6,0.5
fish,fish,3,6,0.5
chearfulness,chearfulness,3,6,0.5
escape,escape,3,6,0.5
obedience,obedience,3,6,0.5
shew,shew,3,6,0.5
trvels,trvels,3,6,0.5
jemmy,jemmy,3,6,0.5
pavement,pavement,3,6,0.5
disease,disease,3,6,0.5
fainting,fainting,3,6,0.5
perfection,perfection,3,6,0.5
wine,wine,2,4,0.5
miscreant,miscreant,2,4,0.5
jupiter,jupiter,2,4,0.5
smuggler,smuggler,2,4,0.5
box,box,2,4,0.5
applause,applause,2,4,0.5
aeneas,aeneas,2,4,0.5
such,such,2,4,0.5
in,in,2,4,0.5
marquise,marquise,2,4,0.5
tyranness,tyranness,2,4,0.5
preservation,preservation,2,4,0.5
pus,pus,2,4,0.5
landlord,landlord,2,4,0.5
tuesday,tuesday,2,4,0.5
arrogance,arrogance,2,4,0.5
sparrow,sparrow,2,4,0.5
valet,valet,2,4,0.5
tidings,tidings,2,4,0.5
actor,actor,2,4,0.5
manager,manager,2,4,0.5
arrival,arrival,2,4,0.5
cheek,cheek,2,4,0.5
grocer,grocer,2,4,0.5
brink,brink,2,4,0.5
dying,dying,2,4,0.5
ours,ours,2,4,0.5
jewel,jewel,2,4,0.5
silver,silver,2,4,0.5
substance,substance,2,4,0.5
fury,fury,2,4,0.5
boding,boding,2,4,0.5
stock,stock,2,4,0.5
blood,blood,2,4,0.5
profession,profession,2,4,0.5
implacableness,implacableness,2,4,0.5
terence,terence,2,4,0.5
dance,dance,2,4,0.5
amusement,amusement,2,4,0.5
hampstead,hampstead,2,4,0.5
prescriber,prescriber,1,2,0.5
student,student,1,2,0.5
execution,execution,1,2,0.5
iron,iron,1,2,0.5
preparative,preparative,1,2,0.5
inmate,inmate,1,2,0.5
proceeding,proceeding,1,2,0.5
liquor,liquor,1,2,0.5
pedant,pedant,1,2,0.5
venerables,venerables,1,2,0.5
reproach,reproach,1,2,0.5
inch,inch,1,2,0.5
frenc,frenc,1,2,0.5
hitherto,hitherto,1,2,0.5
qualifier,qualifier,1,2,0.5
perturbation,perturbation,1,2,0.5
harmony,harmony,1,2,0.5
latter,latter,1,2,0.5
elevation,elevation,1,2,0.5
travel,travel,1,2,0.5
stockens,stockens,1,2,0.5
nobleness,nobleness,1,2,0.5
littleness,littleness,1,2,0.5
bridge,bridge,1,2,0.5
patsey,patsey,1,2,0.5
union,union,1,2,0.5
monger,monger,1,2,0.5
hah,hah,1,2,0.5
nag,nag,1,2,0.5
eagle,eagle,1,2,0.5
mirth,mirth,1,2,0.5
damnation,damnation,1,2,0.5
reversion,reversion,1,2,0.5
unbar,unbar,1,2,0.5
concert,concert,1,2,0.5
let,let,1,2,0.5
varletesses,varletesses,1,2,0.5
help,help,1,2,0.5
lock,lock,1,2,0.5
cost,cost,1,2,0.5
date,date,1,2,0.5
spectacle,spectacle,1,2,0.5
repartee,repartee,1,2,0.5
smartness,smartness,1,2,0.5
peerage,peerage,1,2,0.5
chicken,chicken,1,2,0.5
comeliness,comeliness,1,2,0.5
absurdity,absurdity,1,2,0.5
escutcheon,escutcheon,1,2,0.5
impulse,impulse,1,2,0.5
little,little,1,2,0.5
blush,blush,1,2,0.5
devilson,devilson,1,2,0.5
saturday,saturday,1,2,0.5
emperor,emperor,1,2,0.5
porter,porter,1,2,0.5
richness,richness,1,2,0.5
impostor,impostor,1,2,0.5
solicitor,solicitor,1,2,0.5
knollys,knollys,1,2,0.5
partiality,partiality,1,2,0.5
unfelt,unfelt,1,2,0.5
sleeper,sleeper,1,2,0.5
conviction,conviction,1,2,0.5
acknowlegements,acknowlegements,1,2,0.5
correspondencies,correspondencies,1,2,0.5
diversion,diversion,1,2,0.5
weed,weed,1,2,0.5
fuller,fuller,1,2,0.5
allinson,allinson,1,2,0.5
hoop,hoop,1,2,0.5
censorious,censorious,1,2,0.5
sat,sat,1,2,0.5
surname,surname,1,2,0.5
nod,nod,1,2,0.5
wig,wig,1,2,0.5
wantonness,wantonness,1,2,0.5
vex,vex,1,2,0.5
it,it,1,2,0.5
whisper,whisper,1,2,0.5
forbearance,forbearance,1,2,0.5
fix,fix,1,2,0.5
summons,summons,1,2,0.5
impudence,impudence,1,2,0.5
coat,coat,1,2,0.5
condemnation,condemnation,1,2,0.5
begg,begg,1,2,0.5
belief,belief,1,2,0.5
shuld,shuld,1,2,0.5
despights,despights,1,2,0.5
exhortation,exhortation,1,2,0.5
intermeddling,intermeddling,1,2,0.5
importance,importance,1,2,0.5
monster,monster,1,2,0.5
herod,herod,1,2,0.5
wor,wor,1,2,0.5
victim,victim,1,2,0.5
ah,ah,1,2,0.5
pursuer,pursuer,1,2,0.5
persuasion,persuasion,1,2,0.5
meditation,meditation,1,2,0.5
delirium,delirium,1,2,0.5
solicitation,solicitation,1,2,0.5
heel,heel,1,2,0.5
fold,fold,1,2,0.5
mien,mien,1,2,0.5
conveniency,conveniency,1,2,0.5
option,option,1,2,0.5
quarter,quarter,1,2,0.5
darkness,darkness,1,2,0.5
image,image,1,2,0.5
twenty,twenty,1,2,0.5
ravisher,ravisher,1,2,0.5
nomination,nomination,1,2,0.5
refuge,refuge,1,2,0.5
puzzle,puzzle,1,2,0.5
flattery,flattery,24,46,0.52
sake,sake,19,36,0.53
weakness,weakness,9,17,0.53
mightest,mightest,8,15,0.53
proselyte,proselyte,13,24,0.54
politeness,politeness,7,13,0.54
conveyance,conveyance,6,11,0.55
officer,officer,6,11,0.55
beelzebub,beelzebub,10,18,0.56
informant,informant,9,16,0.56
sword,sword,5,9,0.56
disguise,disguise,5,9,0.56
lawyer,lawyer,5,9,0.56
yo,yo,5,9,0.56
perseverance,perseverance,5,9,0.56
qualification,qualification,5,9,0.56
destiny,destiny,5,9,0.56
folk,folk,20,35,0.57
distance,distance,8,14,0.57
invective,invective,4,7,0.57
ear,ear,4,7,0.57
worth,worth,4,7,0.57
intrigue,intrigue,4,7,0.57
sh,sh,4,7,0.57
inclosed,inclosed,4,7,0.57
joel,joel,18,31,0.58
bribe,bribe,7,12,0.58
nurse,nurse,19,32,0.59
truth,truth,6,10,0.6
aversion,aversion,6,10,0.6
phrase,phrase,6,10,0.6
information,information,3,5,0.6
seducer,seducer,3,5,0.6
suspense,suspense,3,5,0.6
dishonour,dishonour,3,5,0.6
defect,defect,3,5,0.6
discovery,discovery,3,5,0.6
play,play,3,5,0.6
silk,silk,3,5,0.6
understanding,understanding,3,5,0.6
inquiry,inquiry,3,5,0.6
vilest,vilest,3,5,0.6
restraint,restraint,3,5,0.6
musty,musty,3,5,0.6
superiority,superiority,3,5,0.6
liking,liking,3,5,0.6
consequence,consequence,10,16,0.62
saucy,saucy,8,13,0.62
condescension,condescension,5,8,0.62
admiration,admiration,5,8,0.62
obstinacy,obstinacy,5,8,0.62
maker,maker,7,11,0.64
event,event,13,20,0.65
project,project,8,12,0.67
boreas,boreas,6,9,0.67
test,test,4,6,0.67
sin,sin,4,6,0.67
gout,gout,4,6,0.67
lincoln,lincoln,4,6,0.67
party,party,4,6,0.67
baseness,baseness,4,6,0.67
virulence,virulence,4,6,0.67
virago,virago,2,3,0.67
attribute,attribute,2,3,0.67
steadiness,steadiness,2,3,0.67
sting,sting,2,3,0.67
duchess,duchess,2,3,0.67
disgust,disgust,2,3,0.67
zeal,zeal,2,3,0.67
ancestor,ancestor,2,3,0.67
custom,custom,2,3,0.67
leaden,leaden,2,3,0.67
soldier,soldier,2,3,0.67
ice,ice,2,3,0.67
thomas,thomas,2,3,0.67
darling,darling,2,3,0.67
welfare,welfare,2,3,0.67
sign,sign,2,3,0.67
allowance,allowance,2,3,0.67
admirer,admirer,2,3,0.67
owner,owner,2,3,0.67
match,match,2,3,0.67
cottage,cottage,2,3,0.67
supposition,supposition,2,3,0.67
remainder,remainder,2,3,0.67
inexperience,inexperience,2,3,0.67
loth,loth,2,3,0.67
marrying,marrying,2,3,0.67
splendor,splendor,2,3,0.67
imitation,imitation,2,3,0.67
doggesses,doggesses,2,3,0.67
behav,behav,2,3,0.67
spring,spring,2,3,0.67
veteran,veteran,2,3,0.67
groan,groan,2,3,0.67
hanna,hanna,2,3,0.67
mark,mark,2,3,0.67
spite,spite,2,3,0.67
construction,construction,2,3,0.67
impression,impression,2,3,0.67
perpetration,perpetration,2,3,0.67
train,train,2,3,0.67
forwardness,forwardness,2,3,0.67
barbara,barbara,2,3,0.67
fit,fit,7,10,0.7
necessity,necessity,5,7,0.71
sailor,sailor,5,7,0.71
home,home,5,7,0.71
speech,speech,5,7,0.71
offender,offender,5,7,0.71
recovery,recovery,5,7,0.71
wish,wish,6,8,0.75
post,post,6,8,0.75
threatenings,threatenings,6,8,0.75
contradiction,contradiction,6,8,0.75
protection,protection,6,8,0.75
juvenal,juvenal,3,4,0.75
disparagement,disparagement,3,4,0.75
no,no,3,4,0.75
survivor,survivor,3,4,0.75
nuptials,nuptials,3,4,0.75
thunderbolt,thunderbolt,3,4,0.75
leave,leave,3,4,0.75
guest,guest,3,4,0.75
charg,charg,3,4,0.75
hearing,hearing,3,4,0.75
appetite,appetite,3,4,0.75
covetous,covetous,3,4,0.75
strength,strength,3,4,0.75
provision,provision,3,4,0.75
sobb,sobb,3,4,0.75
wind,wind,3,4,0.75
confusion,confusion,3,4,0.75
policy,policy,3,4,0.75
couldest,couldest,3,4,0.75
property,property,3,4,0.75
chamber,chamber,10,13,0.77
trader,trader,8,10,0.8
levity,levity,4,5,0.8
worthiness,worthiness,4,5,0.8
earnest,earnest,4,5,0.8
temptation,temptation,4,5,0.8
woe,woe,4,5,0.8
audience,audience,4,5,0.8
malice,malice,4,5,0.8
title,title,5,6,0.83
composure,composure,11,13,0.85
comfort,comfort,7,8,0.88
creditor,creditor,18,20,0.9
absence,absence,9,10,0.9
silence,silence,6,6,1.0
reception,reception,5,5,1.0
mantua,mantua,5,5,1.0
everyone,everyone,5,5,1.0
influence,influence,4,4,1.0
paul,paul,4,4,1.0
controul,controul,4,4,1.0
adieu,adieu,4,4,1.0
oracle,oracle,4,4,1.0
intreaties,intreaties,4,4,1.0
prepossession,prepossession,4,4,1.0
sheriff,sheriff,4,4,1.0
lenity,lenity,3,3,1.0
harden,harden,3,3,1.0
prejudice,prejudice,3,3,1.0
croud,croud,3,3,1.0
heath,heath,3,3,1.0
attention,attention,3,3,1.0
lewdness,lewdness,3,3,1.0
barker,barker,3,3,1.0
benefit,benefit,3,3,1.0
sheet,sheet,3,3,1.0
nail,nail,3,3,1.0
insensibility,insensibility,3,3,1.0
fowl,fowl,3,3,1.0
venison,venison,3,3,1.0
mile,mile,3,3,1.0
glass,glass,3,3,1.0
cypher,cypher,3,3,1.0
orator,orator,3,3,1.0
j,j,3,3,1.0
boundary,boundary,3,3,1.0
edge,edge,3,3,1.0
mole,mole,3,3,1.0
result,result,3,3,1.0
josias,josias,3,3,1.0
brookland,brookland,3,3,1.0
perkins,perkins,3,3,1.0
stedman,stedman,3,3,1.0
mortgagee,mortgagee,3,3,1.0
altar,altar,3,3,1.0
owl,owl,3,3,1.0
sprightly,sprightly,3,3,1.0
library,library,2,2,1.0
enormity,enormity,2,2,1.0
heat,heat,2,2,1.0
retinue,retinue,2,2,1.0
excursion,excursion,2,2,1.0
produce,produce,2,2,1.0
apparel,apparel,2,2,1.0
concession,concession,2,2,1.0
song,song,2,2,1.0
precaution,precaution,2,2,1.0
detainest,detainest,2,2,1.0
dining,dining,2,2,1.0
supplication,supplication,2,2,1.0
indeed,indeed,2,2,1.0
path,path,2,2,1.0
uncertainty,uncertainty,2,2,1.0
eloquence,eloquence,2,2,1.0
clergy,clergy,2,2,1.0
fretten,fretten,2,2,1.0
rapture,rapture,2,2,1.0
teeth,teeth,2,2,1.0
interception,interception,2,2,1.0
addition,addition,2,2,1.0
anxiety,anxiety,2,2,1.0
spira,spira,2,2,1.0
drexelius,drexelius,2,2,1.0
trooper,trooper,2,2,1.0
vultur,vultur,2,2,1.0
tenor,tenor,2,2,1.0
sigh,sigh,2,2,1.0
ruin,ruin,2,2,1.0
sweet,sweet,2,2,1.0
rape,rape,2,2,1.0
proclamation,proclamation,2,2,1.0
display,display,2,2,1.0
mourner,mourner,2,2,1.0
exaltation,exaltation,2,2,1.0
breakfast,breakfast,2,2,1.0
diamond,diamond,2,2,1.0
ring,ring,2,2,1.0
price,price,2,2,1.0
stroak,stroak,2,2,1.0
vestal,vestal,2,2,1.0
watch,watch,2,2,1.0
mate,mate,2,2,1.0
frost,frost,2,2,1.0
epsom,epsom,2,2,1.0
comfortings,comfortings,2,2,1.0
infection,infection,2,2,1.0
saith,saith,2,2,1.0
sens,sens,2,2,1.0
comparison,comparison,2,2,1.0
monkey,monkey,2,2,1.0
drayton,drayton,2,2,1.0
suspence,suspence,2,2,1.0
challeng,challeng,2,2,1.0
farce,farce,2,2,1.0
representative,representative,2,2,1.0
nonsense,nonsense,2,2,1.0
shouldest,shouldest,2,2,1.0
friday,friday,2,2,1.0
chain,chain,2,2,1.0
akes,akes,2,2,1.0
ending,ending,2,2,1.0
augustan,augustan,2,2,1.0
enrage,enrage,2,2,1.0
ulysses,ulysses,2,2,1.0
phaedra,phaedra,2,2,1.0
hippolytus,hippolytus,2,2,1.0
clytemnestra,clytemnestra,2,2,1.0
harasses,harasses,2,2,1.0
destruction,destruction,2,2,1.0
faintings,faintings,2,2,1.0
needest,needest,2,2,1.0
joint,joint,2,2,1.0
stool,stool,2,2,1.0
bread,bread,2,2,1.0
trade,trade,2,2,1.0
portugal,portugal,2,2,1.0
cossack,cossack,2,2,1.0
pultowa,pultowa,2,2,1.0
harlot,harlot,2,2,1.0
coa,coa,2,2,1.0
misreporters,misreporters,2,2,1.0
longs,longs,2,2,1.0
dove,dove,2,2,1.0
flash,flash,2,2,1.0
grandpapa,grandpapa,2,2,1.0
bent,bent,2,2,1.0
young,young,2,2,1.0
supper,supper,2,2,1.0
abjectness,abjectness,2,2,1.0
edict,edict,2,2,1.0
probation,probation,2,2,1.0
pierglasses,pierglasses,2,2,1.0
willers,willers,2,2,1.0
persuadableness,persuadableness,2,2,1.0
university,university,2,2,1.0
attendant,attendant,2,2,1.0
physic,physic,2,2,1.0
prodigy,prodigy,2,2,1.0
caution,caution,2,2,1.0
push,push,2,2,1.0
unkindness,unkindness,2,2,1.0
wink,wink,2,2,1.0
abhor,abhor,2,2,1.0
livest,livest,2,2,1.0
shriek,shriek,2,2,1.0
defiance,defiance,2,2,1.0
duel,duel,2,2,1.0
foresight,foresight,2,2,1.0
shee,shee,2,2,1.0
needle,needle,2,2,1.0
unfit,unfit,2,2,1.0
overture,overture,2,2,1.0
primm,primm,2,2,1.0
couple,couple,2,2,1.0
ambition,ambition,2,2,1.0
aukward,aukward,2,2,1.0
sip,sip,2,2,1.0
welby,welby,2,2,1.0
knoweth,knoweth,2,2,1.0
blunt,blunt,2,2,1.0
miscellany,miscellany,1,1,1.0
practise,practise,1,1,1.0
misery,misery,1,1,1.0
injur,injur,1,1,1.0
neglect,neglect,1,1,1.0
despondency,despondency,1,1,1.0
efficacy,efficacy,1,1,1.0
left,left,1,1,1.0
beech,beech,1,1,1.0
slighter,slighter,1,1,1.0
would,would,1,1,1.0
fiend,fiend,1,1,1.0
converse,converse,1,1,1.0
reference,reference,1,1,1.0
forsooth,forsooth,1,1,1.0
bushel,bushel,1,1,1.0
siding,siding,1,1,1.0
reconciliatory,reconciliatory,1,1,1.0
sedateness,sedateness,1,1,1.0
repining,repining,1,1,1.0
sorrowings,sorrowings,1,1,1.0
murder,murder,1,1,1.0
equanimity,equanimity,1,1,1.0
officiousness,officiousness,1,1,1.0
find,find,1,1,1.0
burial,burial,1,1,1.0
posture,posture,1,1,1.0
gypsey,gypsey,1,1,1.0
warehouse,warehouse,1,1,1.0
adulation,adulation,1,1,1.0
frankness,frankness,1,1,1.0
naming,naming,1,1,1.0
reign,reign,1,1,1.0
gospel,gospel,1,1,1.0
sewer,sewer,1,1,1.0
job,job,1,1,1.0
pomp,pomp,1,1,1.0
dissertation,dissertation,1,1,1.0
belsord,belsord,1,1,1.0
rhetorician,rhetorician,1,1,1.0
him,him,1,1,1.0
tabby,tabby,1,1,1.0
softening,softening,1,1,1.0
gratifying,gratifying,1,1,1.0
wall,wall,1,1,1.0
assent,assent,1,1,1.0
torture,torture,1,1,1.0
style,style,1,1,1.0
ft,ft,1,1,1.0
